25::10::2022 18:25:05 [main] INFO  com.exhibit.dao.UserDao  findByLogin problems with findByUser
25::10::2022 18:48:35 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:49:46 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:51:28 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:51:50 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:52:37 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:53:22 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:53:53 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:54:06 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:55:04 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:55:44 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 19:16:46 [main] ERROR com.exhibit.dao.UserDao  findByLogin Problems user findByLogin
27::10::2022 20:49:46 [main] ERROR com.exhibit.dao.impl.ExhibitionDao  findByDatePerPage java.sql.SQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ORDER BY start_date OFFSET 0' at line 1
27::10::2022 20:49:46 [main] ERROR com.exhibit.dao.impl.ExhibitionDao  findByDatePerPage java.sql.SQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ORDER BY start_date OFFSET 0' at line 1
27::10::2022 21:14:20 [main] ERROR com.exhibit.util.ConnectionPool  getConnection Problems with getConnection
03::11::2022 02:45:23 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 02:46:02 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 02:48:26 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 02:54:23 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 02:57:03 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 03:24:38 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 04:37:25 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
03::11::2022 04:39:23 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  getConnection Problems with getConnection
07::11::2022 04:08:51 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:08:51 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:08:51 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:08:51 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:08:52 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:08:52 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
